Nph,eps,g1,g2,A_ed,B_ed,C_ed,A_sw,B_sw,C_sw,dA,dB,dC,E3_err,mixA_ed,mixB_ed,mixC_ed,mixA_sw,mixB_sw,mixC_sw,mixdA,mixdB,mixdC
8,0.01,0.01,0.01,0.0000000000000000e+00,1.9987501952515352e-01,8.3636861880620472e-09,0.0000000000000000e+00,1.9987501953125000e-01,8.3705357142857154e-09,0.0000000000000000e+00,-6.0964844283972752e-12,-6.8495262236682211e-12,-5.2096105207510846e-12,0.0000000000000000e+00,4.4686476741162551e-15,-1.1149269812937845e-08,0.0000000000000000e+00,0.0000000000000000e+00,-1.1160714285714286e-08,0.0000000000000000e+00,4.4686476741162551e-15,1.1444472776440796e-11
8,0.015,0.015,0.015,0.0000000000000000e+00,1.9971884880749169e-01,4.2297936264645841e-08,0.0000000000000000e+00,1.9971884887695313e-01,4.2375837053571412e-08,0.0000000000000000e+00,-6.9461436602580306e-11,-7.7900788925570877e-11,-5.9337867952535817e-11,0.0000000000000000e+00,-4.4408920985006262e-16,-5.6370874412792205e-08,0.0000000000000000e+00,0.0000000000000000e+00,-5.6501116071428556e-08,0.0000000000000000e+00,-4.4408920985006262e-16,1.3024165863635151e-10
8,0.02,0.02,0.02,0.0000000000000000e+00,1.9950031210998809e-01,1.3349145278063190e-07,0.0000000000000000e+00,1.9950031250000000e-01,1.3392857142857145e-07,0.0000000000000000e+00,-3.9001191165510818e-10,-4.3711864793954419e-10,-3.3227376405875475e-10,0.0000000000000000e+00,3.6359804056473877e-15,-1.7784092862238587e-07,0.0000000000000000e+00,0.0000000000000000e+00,-1.7857142857142858e-07,0.0000000000000000e+00,3.6359804056473877e-15,7.3049994904270418e-10
8,0.03,0.03,0.03,0.0000000000000000e+00,1.9887657759737332e-01,6.7305334394696104e-07,0.0000000000000000e+00,1.9887658203125000e-01,6.7801339285714259e-07,0.0000000000000000e+00,-4.4338766824747466e-09,-4.9600489101815578e-09,-3.7492884352730016e-09,0.0000000000000000e+00,3.5527136788005009e-15,-8.9573809858300990e-07,0.0000000000000000e+00,0.0000000000000000e+00,-9.0401785714285690e-07,0.0000000000000000e+00,3.5527136788005009e-15,8.2797585598469966e-09
8,0.04,0.04,0.04,0.0000000000000000e+00,1.9800497515516780e-01,2.1151362072924229e-06,0.0000000000000000e+00,1.9800500000000001e-01,2.1428571428571432e-06,0.0000000000000000e+00,-2.4844832219317325e-08,-2.7720935564720244e-08,-2.0790213106636202e-08,0.0000000000000000e+00,3.2196467714129540e-15,-2.8109413866550526e-06,0.0000000000000000e+00,0.0000000000000000e+00,-2.8571428571428573e-06,0.0000000000000000e+00,3.2196467714129540e-15,4.6201470487804702e-08
10,0.01,0.01,0.01,0.0000000000000000e+00,1.9987501952514891e-01,8.3636901848649359e-09,0.0000000000000000e+00,1.9987501953125000e-01,8.3705357142857154e-09,0.0000000000000000e+00,-6.1010918539494696e-12,-6.8455294207795705e-12,-5.2223780855342739e-12,0.0000000000000000e+00,-1.6653345369377348e-16,-1.1149265788379381e-08,0.0000000000000000e+00,0.0000000000000000e+00,-1.1160714285714286e-08,0.0000000000000000e+00,-1.6653345369377348e-16,1.1448497334905062e-11
10,0.015,0.015,0.015,0.0000000000000000e+00,1.9971884880749141e-01,4.2297935681778753e-08,0.0000000000000000e+00,1.9971884887695313e-01,4.2375837053571412e-08,0.0000000000000000e+00,-6.9461714158336463e-11,-7.7901371792658805e-11,-5.9337312841023504e-11,0.0000000000000000e+00,-2.4980018054066022e-15,-5.6370872775213243e-08,0.0000000000000000e+00,0.0000000000000000e+00,-5.6501116071428556e-08,0.0000000000000000e+00,-2.4980018054066022e-15,1.3024329621531284e-10
10,0.02,0.02,0.02,0.0000000000000000e+00,1.9950031210998437e-01,1.3349145616681213e-07,0.0000000000000000e+00,1.9950031250000000e-01,1.3392857142857145e-07,0.0000000000000000e+00,-3.9001563090224067e-10,-4.3711526175931909e-10,-3.3228586548972316e-10,0.0000000000000000e+00,-5.5511151231257827e-17,-1.7784092526396122e-07,0.0000000000000000e+00,0.0000000000000000e+00,-1.7857142857142858e-07,0.0000000000000000e+00,-5.5511151231257827e-17,7.3050330746735367e-10
10,0.03,0.03,0.03,0.0000000000000000e+00,1.9887657759736840e-01,6.7305334708334108e-07,0.0000000000000000e+00,1.9887658203125000e-01,6.7801339285714259e-07,0.0000000000000000e+00,-4.4338815952116306e-09,-4.9600457738015133e-09,-3.7492945414996370e-09,0.0000000000000000e+00,-4.7184478546569153e-16,-8.9573809655685288e-07,0.0000000000000000e+00,0.0000000000000000e+00,-9.0401785714285690e-07,0.0000000000000000e+00,-4.7184478546569153e-16,8.2797605860040165e-09
10,0.04,0.04,0.04,0.0000000000000000e+00,1.9800497515516455e-01,2.1151362099292026e-06,0.0000000000000000e+00,1.9800500000000001e-01,2.1428571428571432e-06,0.0000000000000000e+00,-2.4844835466719672e-08,-2.7720932927940560e-08,-2.0790222210465004e-08,0.0000000000000000e+00,-2.7755575615628914e-17,-2.8109413840182729e-06,0.0000000000000000e+00,0.0000000000000000e+00,-2.8571428571428573e-06,0.0000000000000000e+00,-2.7755575615628914e-17,4.6201473124584385e-08
