Nph,g,xi1,xi2,g1,g2,A_ed,B_ed,C_ed,A_sw,B_sw,C_sw,dA,dB,dC,E3_err,mixA_ed,mixB_ed,mixC_ed,mixA_sw,mixB_sw,mixC_sw,mixdA,mixdB,mixdC
12,0.05,1,0.5,0.05,0.025,0.0000000000000000e+00,1.9688711258507255e-01,1.0229871103689669e-05,0.0000000000000000e+00,1.9688720703125001e-01,1.0463169642857145e-05,0.0000000000000000e+00,-9.4446177462126357e-08,-2.3329853916747519e-07,-4.0892189123731271e-07,0.0000000000000000e+00,-1.9428902930940239e-16,-1.6974279246351198e-06,0.0000000000000000e+00,0.0000000000000000e+00,-1.7438616071428577e-06,0.0000000000000000e+00,-1.9428902930940239e-16,4.6433682507737901e-08
12,0.07,1,0.5,0.07,0.035,0.0000000000000000e+00,1.9392118991506080e-01,3.8474134593347031e-05,0.0000000000000000e+00,1.9392189453125000e-01,4.0195312500000002e-05,0.0000000000000000e+00,-7.0461618920103497e-07,-1.7211779066529707e-06,-2.9248228414768818e-06,0.0000000000000000e+00,-3.3306690738754696e-16,-6.3581699804582392e-06,0.0000000000000000e+00,0.0000000000000000e+00,-6.6992187500000049e-06,0.0000000000000000e+00,-3.3306690738754696e-16,3.4104876954176564e-07
12,0.1,1,0.5,0.1,0.05,0.0000000000000000e+00,1.8768943743823380e-01,1.5338185097477086e-04,0.0000000000000000e+00,1.8769531250000002e-01,1.6741071428571431e-04,0.0000000000000000e+00,-5.8750617662195470e-06,-1.4028863310943453e-05,-2.2389815777845712e-05,0.0000000000000000e+00,-2.7755575615628914e-16,-2.5146354826949269e-05,0.0000000000000000e+00,0.0000000000000000e+00,-2.7901785714285724e-05,0.0000000000000000e+00,-2.7755575615628914e-16,2.7554308873364549e-06
12,0.12,1,0.5,0.12,0.06,0.0000000000000000e+00,1.8238773964357799e-01,3.0668466619035439e-04,0.0000000000000000e+00,1.8240500000000001e-01,3.4714285714285701e-04,0.0000000000000000e+00,-1.7260356422021950e-05,-4.0458190952502614e-05,-6.1354967952897965e-05,0.0000000000000000e+00,1.6653345369377348e-16,-4.9965866228046663e-05,0.0000000000000000e+00,0.0000000000000000e+00,-5.7857142857142862e-05,0.0000000000000000e+00,1.6653345369377348e-16,7.8912766290961992e-06
12,0.15,1,0.5,0.15,0.075,0.0000000000000000e+00,1.7279981273412362e-01,7.0230474636390205e-04,0.0000000000000000e+00,1.7286376953125002e-01,8.4751674107142816e-04,0.0000000000000000e+00,-6.3956797126396570e-05,-1.4521199470752611e-04,-2.0172940487439561e-04,0.0000000000000000e+00,2.7755575615628914e-17,-1.1325406607720634e-04,0.0000000000000000e+00,0.0000000000000000e+00,-1.4125279017857136e-04,0.0000000000000000e+00,2.7755575615628914e-17,2.7998724101365021e-05
16,0.05,1,0.5,0.05,0.025,0.0000000000000000e+00,1.9688711258508196e-01,1.0229871092448661e-05,0.0000000000000000e+00,1.9688720703125001e-01,1.0463169642857145e-05,0.0000000000000000e+00,-9.4446168052986224e-08,-2.3329855040848332e-07,-4.0892185193541764e-07,0.0000000000000000e+00,8.8817841970012523e-15,-1.6974279368753287e-06,0.0000000000000000e+00,0.0000000000000000e+00,-1.7438616071428577e-06,0.0000000000000000e+00,8.8817841970012523e-15,4.6433670267529055e-08
16,0.07,1,0.5,0.07,0.035,0.0000000000000000e+00,1.9392118991506813e-01,3.8474134586241604e-05,0.0000000000000000e+00,1.9392189453125000e-01,4.0195312500000002e-05,0.0000000000000000e+00,-7.0461618187356301e-07,-1.7211779137583981e-06,-2.9248228230471796e-06,0.0000000000000000e+00,7.2442052356791464e-15,-6.3581699875914222e-06,0.0000000000000000e+00,0.0000000000000000e+00,-6.6992187500000049e-06,0.0000000000000000e+00,7.2442052356791464e-15,3.4104876240858271e-07
16,0.1,1,0.5,0.1,0.05,0.0000000000000000e+00,1.8768943743824185e-01,1.5338185096513968e-04,0.0000000000000000e+00,1.8769531250000002e-01,1.6741071428571431e-04,0.0000000000000000e+00,-5.8750617581704301e-06,-1.4028863320574638e-05,-2.2389815745427200e-05,0.0000000000000000e+00,8.1046280797636427e-15,-2.5146354836691476e-05,0.0000000000000000e+00,0.0000000000000000e+00,-2.7901785714285724e-05,0.0000000000000000e+00,8.1046280797636427e-15,2.7554308775942478e-06
16,0.12,1,0.5,0.12,0.06,0.0000000000000000e+00,1.8238773964357807e-01,3.0668466619043766e-04,0.0000000000000000e+00,1.8240500000000001e-01,3.4714285714285701e-04,0.0000000000000000e+00,-1.7260356421938683e-05,-4.0458190952419348e-05,-6.1354967954341255e-05,0.0000000000000000e+00,1.9428902930940239e-16,-4.9965866227436040e-05,0.0000000000000000e+00,0.0000000000000000e+00,-5.7857142857142862e-05,0.0000000000000000e+00,1.9428902930940239e-16,7.8912766297068219e-06
16,0.15,1,0.5,0.15,0.075,0.0000000000000000e+00,1.7279981273412331e-01,7.0230474636417961e-04,0.0000000000000000e+00,1.7286376953125002e-01,8.4751674107142816e-04,0.0000000000000000e+00,-6.3956797126701881e-05,-1.4521199470724855e-04,-2.0172940487517277e-04,0.0000000000000000e+00,-3.0531133177191805e-16,-1.1325406607679001e-04,0.0000000000000000e+00,0.0000000000000000e+00,-1.4125279017857136e-04,0.0000000000000000e+00,-3.0531133177191805e-16,2.7998724101781355e-05
20,0.05,1,0.5,0.05,0.025,0.0000000000000000e+00,1.9688711258507233e-01,1.0229871104328048e-05,0.0000000000000000e+00,1.9688720703125001e-01,1.0463169642857145e-05,0.0000000000000000e+00,-9.4446177684170962e-08,-2.3329853852909696e-07,-4.0892189501207099e-07,0.0000000000000000e+00,-1.3877787807814457e-16,-1.6974279242742973e-06,0.0000000000000000e+00,0.0000000000000000e+00,-1.7438616071428577e-06,0.0000000000000000e+00,-1.3877787807814457e-16,4.6433682868560384e-08
20,0.07,1,0.5,0.07,0.035,0.0000000000000000e+00,1.9392118991506088e-01,3.8474134593596832e-05,0.0000000000000000e+00,1.9392189453125000e-01,4.0195312500000002e-05,0.0000000000000000e+00,-7.0461618911776824e-07,-1.7211779064031706e-06,-2.9248228440303947e-06,0.0000000000000000e+00,-3.8857805861880479e-16,-6.3581699799031277e-06,0.0000000000000000e+00,0.0000000000000000e+00,-6.6992187500000049e-06,0.0000000000000000e+00,-3.8857805861880479e-16,3.4104877009687715e-07
20,0.1,1,0.5,0.1,0.05,0.0000000000000000e+00,1.8768943743823424e-01,1.5338185097424351e-04,0.0000000000000000e+00,1.8769531250000002e-01,1.6741071428571431e-04,0.0000000000000000e+00,-5.8750617657754578e-06,-1.4028863311470809e-05,-2.2389815777623667e-05,0.0000000000000000e+00,7.2164496600635175e-16,-2.5146354827532136e-05,0.0000000000000000e+00,0.0000000000000000e+00,-2.7901785714285724e-05,0.0000000000000000e+00,7.2164496600635175e-16,2.7554308867535878e-06
20,0.12,1,0.5,0.12,0.06,0.0000000000000000e+00,1.8238773964357810e-01,3.0668466619029888e-04,0.0000000000000000e+00,1.8240500000000001e-01,3.4714285714285701e-04,0.0000000000000000e+00,-1.7260356421910927e-05,-4.0458190952558125e-05,-6.1354967954674322e-05,0.0000000000000000e+00,3.8857805861880479e-16,-4.9965866227297262e-05,0.0000000000000000e+00,0.0000000000000000e+00,-5.7857142857142862e-05,0.0000000000000000e+00,3.8857805861880479e-16,7.8912766298455997e-06
20,0.15,1,0.5,0.15,0.075,0.0000000000000000e+00,1.7279981273412340e-01,7.0230474636448492e-04,0.0000000000000000e+00,1.7286376953125002e-01,8.4751674107142816e-04,0.0000000000000000e+00,-6.3956797126618614e-05,-1.4521199470694324e-04,-2.0172940487794833e-04,0.0000000000000000e+00,-8.3266726846886741e-17,-1.1325406607637367e-04,0.0000000000000000e+00,0.0000000000000000e+00,-1.4125279017857136e-04,0.0000000000000000e+00,-8.3266726846886741e-17,2.7998724102197689e-05
24,0.05,1,0.5,0.05,0.025,0.0000000000000000e+00,1.9688711258508285e-01,1.0229871093336840e-05,0.0000000000000000e+00,1.9688720703125001e-01,1.0463169642857145e-05,0.0000000000000000e+00,-9.4446167164807804e-08,-2.3329854952030490e-07,-4.0892186081720183e-07,0.0000000000000000e+00,1.0130785099704553e-14,-1.6974279342107934e-06,0.0000000000000000e+00,0.0000000000000000e+00,-1.7438616071428577e-06,0.0000000000000000e+00,1.0130785099704553e-14,4.6433672932064314e-08
24,0.07,1,0.5,0.07,0.035,0.0000000000000000e+00,1.9392118991507168e-01,3.8474134584021158e-05,0.0000000000000000e+00,1.9392189453125000e-01,4.0195312500000002e-05,0.0000000000000000e+00,-7.0461617832084933e-07,-1.7211779159788442e-06,-2.9248228150535738e-06,0.0000000000000000e+00,1.0602629885170245e-14,-6.3581699898118682e-06,0.0000000000000000e+00,0.0000000000000000e+00,-6.6992187500000049e-06,0.0000000000000000e+00,1.0602629885170245e-14,3.4104876018813666e-07
24,0.1,1,0.5,0.1,0.05,0.0000000000000000e+00,1.8768943743824362e-01,1.5338185096647194e-04,0.0000000000000000e+00,1.8769531250000002e-01,1.6741071428571431e-04,0.0000000000000000e+00,-5.8750617563940732e-06,-1.4028863319242370e-05,-2.2389815752532627e-05,0.0000000000000000e+00,9.6034291630076041e-15,-2.5146354835414719e-05,0.0000000000000000e+00,0.0000000000000000e+00,-2.7901785714285724e-05,0.0000000000000000e+00,9.6034291630076041e-15,2.7554308788710043e-06
24,0.12,1,0.5,0.12,0.06,0.0000000000000000e+00,1.8238773964358757e-01,3.0668466618122281e-04,0.0000000000000000e+00,1.8240500000000001e-01,3.4714285714285701e-04,0.0000000000000000e+00,-1.7260356412446276e-05,-4.0458190961634199e-05,-6.1354967928473059e-05,0.0000000000000000e+00,9.8809849191638932e-15,-4.9965866237178247e-05,0.0000000000000000e+00,0.0000000000000000e+00,-5.7857142857142862e-05,0.0000000000000000e+00,9.8809849191638932e-15,7.8912766199646148e-06
